RowNumber,CustomerId,Surname,CreditScore,Gender,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Age,Geography_Germany,Geography_Spain,churn_predicted
3,15619304,Onio,-1.536794180222889,0,1.03290776479748,1.3330533457228904,3,1,0,0.24068690006348814,1,42,False,False,1
6,15574012,Chu,-0.05720525355093678,1,1.03290776479748,0.5973285944410414,2,1,0,0.8636502870218095,1,44,False,True,1
8,15656148,Obinna,-2.840487919807966,0,-0.35020386455104724,0.6180189508533646,4,1,0,0.33485372981012046,1,29,True,False,1
17,15737452,Romeo,0.025568952137004615,1,-1.3875375865624426,0.8993931172292712,1,1,0,-1.651825870574206,1,58,True,False,1
23,15699309,Gerasimov,-1.4540199745349478,0,-0.35020386455104724,-1.2258476714090278,1,1,0,0.32731820632749364,1,38,False,True,1
31,15589475,Azikiwe,-0.6159311419445411,0,-0.695981771888179,-1.2258476714090278,3,1,0,0.7021528985231289,1,39,False,True,1
42,15738148,Clarke,-1.919624881529618,0,1.03290776479748,0.7378308850642105,1,0,0,1.4121157168917053,1,51,False,False,1
44,15755196,Lavine,1.8983353558266787,0,-1.0417596792253108,0.8800272410904766,1,0,0,1.6393570917124016,1,49,False,False,1
47,15602280,Martin,1.8466014772717152,0,1.378685672134612,0.5699204753635505,1,1,1,0.3411368974574667,1,27,True,False,1
54,15702298,Parkhill,0.04626250355898996,1,1.03290776479748,0.7865476864126004,1,0,0,1.1120387734559636,1,41,True,False,1
55,15569590,Yoo,-0.5124633848346144,1,-1.3875375865624426,0.3527539521024455,1,1,0,-1.0446525657628767,1,42,True,False,1
59,15623944,T'ien,-1.443673198823955,0,-0.35020386455104724,-1.2258476714090278,1,1,0,-1.7118972170658242,1,66,False,True,1
71,15703793,Konovalova,0.9050448875713819,1,-1.0417596792253108,0.9177050506915502,4,1,0,-1.2470761847980885,1,58,True,False,1
82,15663706,Leonard,1.308569140300096,0,-1.0417596792253108,-1.2258476714090278,1,1,0,0.6324023125342576,1,32,False,False,1
87,15762418,Gant,1.029206196103294,1,-0.695981771888179,0.7243601000944535,1,1,0,0.4965100537758168,1,22,False,True,1
89,15622897,Sharpe,-0.0468584778399441,0,-0.35020386455104724,-1.2258476714090278,3,1,0,-0.11892024415998563,1,46,False,False,1
91,15757535,Heap,-0.036511702128951426,0,-0.004425957213915414,-1.2258476714090278,3,1,1,1.2887854461777652,1,44,False,True,1
105,15804919,Dunbabin,0.20146413922388007,0,-1.3875375865624426,-1.2258476714090278,1,1,1,1.3487854977662366,1,65,False,True,1
106,15613854,Mauldon,-0.29518109490376826,0,-0.35020386455104724,0.4902272794282505,2,1,1,-1.2016781988241692,1,46,False,True,1
110,15744689,T'ang,-1.7747700215757207,1,1.378685672134612,0.26201118652800254,1,1,0,-0.011135566242245735,1,35,True,False,1
115,15609618,Fanucci,0.7291497004845064,1,1.378685672134612,1.2499486194025073,2,0,1,0.021052865298588744,1,28,True,False,1
119,15661670,Chidozie,-1.3091651145810503,0,1.03290776479748,0.5021732452641317,1,1,0,1.7325557018962958,1,31,True,False,1
126,15627360,Fuller,-2.2610684799923764,1,1.378685672134612,1.2199444292370911,1,1,0,0.17693308487932127,1,42,False,False,1
127,15671137,MacDonald,-1.0504957218062334,0,-1.3875375865624426,-1.2258476714090278,1,0,1,-1.5902969780382497,1,52,False,False,1
128,15782688,Piccio,-0.26414076777079026,1,-1.7333154938995745,1.1542940257856116,1,1,0,-0.9262452950562433,1,56,True,False,1
132,15718369,Kaodilinakachukwu,1.4948111030979643,0,1.378685672134612,0.871498735669945,1,1,1,0.2581391967938526,0,33,True,False,1
139,15594408,Chia,-0.6883585719214899,0,-1.0417596792253108,2.190269672220738,1,1,0,-0.4334902241754669,1,48,False,True,1
140,15640905,Vasin,-0.7400924504764532,0,-1.3875375865624426,0.8495084204606,2,0,1,-1.5910833086529592,1,35,False,True,1
